Filename	LLM_EP0902
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	14/04/2025
Sample name	LLM_EP0902
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00		
0.00		
0.00		
0.01		
0.01		
0.01	21.66	
0.01	21.70	
0.01	21.73	
0.01	21.77	
0.01	21.80	
0.02	21.83	
0.02	21.87	
0.02	21.90	
0.02	21.93	
0.02	21.96	
0.03	21.99	
0.03	22.02	

[step]
Ramp 10.00 °C/min to 135.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.03	22.05	
0.03	22.08	
0.03	22.11	
0.03	22.14	
0.03	22.17	
0.04	22.19	
0.04	22.22	
0.04	22.25	
0.04	22.28	
0.04	22.31	
0.05	22.34	
0.05	22.36	
0.05	22.39	
0.05	22.42	
0.05	22.44	
0.05	22.47	
0.05	22.50	
0.06	22.52	
0.06	22.55	-0.631
0.06	22.57	-0.608
0.06	22.60	-0.588
0.06	22.63	-0.569
0.07	22.65	-0.554
0.07	22.68	-0.539
0.07	22.70	-0.523
0.07	22.73	-0.509
0.07	22.75	-0.493
0.07	22.78	-0.479
0.08	22.81	-0.466
0.08	22.83	-0.453
0.08	22.86	-0.439
0.08	22.88	-0.424
0.08	22.91	-0.412
0.08	22.93	-0.401
0.08	22.95	-0.392
0.09	22.98	-0.381
0.09	23.00	-0.372
0.09	23.03	-0.363
0.09	23.05	-0.354
0.09	23.08	-0.347
0.09	23.10	-0.338
0.10	23.13	-0.330
0.10	23.15	-0.324
0.10	23.18	-0.317
0.10	23.20	-0.309
0.10	23.23	-0.303
0.11	23.25	-0.296
0.11	23.28	-0.291
0.11	23.30	-0.284
0.11	23.33	-0.277
0.11	23.35	-0.272
0.11	23.37	-0.266
0.12	23.40	-0.262
0.12	23.42	-0.259
0.12	23.45	-0.255
0.12	23.47	-0.253
0.12	23.50	-0.249
0.12	23.52	-0.246
0.13	23.55	-0.242
0.13	23.57	-0.237
0.13	23.59	-0.234
0.13	23.62	-0.232
0.13	23.64	-0.229
0.13	23.67	-0.227
0.14	23.69	-0.226
0.14	23.71	-0.223
0.14	23.74	-0.221
0.14	23.76	-0.218
0.14	23.79	-0.215
0.14	23.81	-0.214
0.14	23.83	-0.210
0.15	23.86	-0.208
0.15	23.88	-0.206
0.15	23.90	-0.204
0.15	23.93	-0.204
0.15	23.95	-0.203
0.16	23.98	-0.203
0.16	24.00	-0.202
0.16	24.02	-0.201
0.16	24.04	-0.199
0.16	24.07	-0.201
0.16	24.09	-0.200
0.16	24.11	-0.199
0.17	24.14	-0.197
0.17	24.16	-0.195
0.17	24.18	-0.194
0.17	24.21	-0.193
0.17	24.23	-0.194
0.18	24.25	-0.193
0.18	24.27	-0.193
0.18	24.30	-0.192
0.18	24.32	-0.191
0.18	24.34	-0.191
0.18	24.36	-0.190
0.19	24.39	-0.188
0.19	24.41	-0.186
0.19	24.43	-0.185
0.19	24.45	-0.186
0.19	24.48	-0.186
0.19	24.50	-0.185
0.19	24.52	-0.185
0.20	24.54	-0.185
0.20	24.56	-0.184
0.20	24.59	-0.185
0.20	24.61	-0.185
0.20	24.63	-0.185
0.21	24.65	-0.184
0.21	24.67	-0.184
0.21	24.69	-0.185
0.21	24.71	-0.184
0.21	24.74	-0.185
0.21	24.76	-0.185
0.21	24.78	-0.184
0.22	24.80	-0.184
0.22	24.82	-0.184
0.22	24.84	-0.183
0.22	24.86	-0.181
0.22	24.88	-0.179
0.23	24.91	-0.178
0.23	24.93	-0.179
0.23	24.95	-0.178
0.23	24.97	-0.179
0.23	24.99	-0.180
0.23	25.01	-0.181
0.24	25.03	-0.181
0.24	25.05	-0.183
0.24	25.07	-0.183
0.24	25.09	-0.182
0.24	25.12	-0.181
0.24	25.14	-0.179
0.24	25.15	-0.177
0.25	25.18	-0.177
0.25	25.20	-0.176
0.25	25.22	-0.175
0.25	25.24	-0.175
0.25	25.26	-0.175
0.26	25.28	-0.175
0.26	25.30	-0.175
0.26	25.32	-0.176
0.26	25.34	-0.176
0.26	25.36	-0.176
0.26	25.38	-0.176
0.26	25.40	-0.176
0.27	25.42	-0.176
0.27	25.44	-0.176
0.27	25.46	-0.176
0.27	25.48	-0.176
0.27	25.50	-0.176
0.28	25.52	-0.175
0.28	25.54	-0.174
0.28	25.56	-0.173
0.28	25.58	-0.171
0.28	25.60	-0.169
0.28	25.62	-0.168
0.29	25.64	-0.168
0.29	25.66	-0.168
0.29	25.68	-0.168
0.29	25.70	-0.168
0.29	25.72	-0.168
0.29	25.74	-0.169
