Filename	LLM_EP10_Bif
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/05/2025
Sample name	LLM_EP10_Bif
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00		
0.00		
0.00		
0.01		
0.01		
0.01	21.74	
0.01	21.77	
0.01	21.80	
0.01	21.82	
0.01	21.85	
0.02	21.88	
0.02	21.91	
0.02	21.93	
0.02	21.96	
0.02	21.99	
0.03	22.01	
0.03	22.04	
0.03	22.06	
0.03	22.09	
0.03	22.11	
0.03	22.14	
0.03	22.16	
0.04	22.19	
0.04	22.21	
0.04	22.24	
0.04	22.26	
0.04	22.28	
0.05	22.31	
0.05	22.33	
0.05	22.36	
0.05	22.38	
0.05	22.40	

[step]
Ramp 10.00 °C/min to 135.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.05	22.43	
0.05	22.45	
0.06	22.47	
0.06	22.50	-0.491
0.06	22.52	-0.488
0.06	22.54	-0.469
0.06	22.57	-0.457
0.07	22.59	-0.447
0.07	22.61	-0.434
0.07	22.63	-0.423
0.07	22.66	-0.412
0.07	22.68	-0.401
0.07	22.71	-0.390
0.08	22.73	-0.382
0.08	22.75	-0.372
0.08	22.78	-0.362
0.08	22.80	-0.352
0.08	22.82	-0.343
0.08	22.84	-0.336
0.08	22.87	-0.328
0.09	22.89	-0.321
0.09	22.91	-0.313
0.09	22.94	-0.307
0.09	22.96	-0.300
0.09	22.98	-0.293
0.09	23.01	-0.288
0.10	23.03	-0.282
0.10	23.05	-0.276
0.10	23.08	-0.269
0.10	23.10	-0.263
0.10	23.12	-0.257
0.11	23.15	-0.250
0.11	23.17	-0.243
0.11	23.19	-0.238
0.11	23.22	-0.234
0.11	23.24	-0.228
0.11	23.26	-0.224
0.12	23.29	-0.219
0.12	23.31	-0.216
0.12	23.33	-0.211
0.12	23.36	-0.208
0.12	23.38	-0.205
0.12	23.40	-0.202
0.13	23.43	-0.198
0.13	23.45	-0.194
0.13	23.47	-0.192
0.13	23.50	-0.188
0.13	23.52	-0.185
0.13	23.54	-0.182
0.14	23.57	-0.180
0.14	23.59	-0.177
0.14	23.61	-0.175
0.14	23.64	-0.175
0.14	23.66	-0.173
0.14	23.68	-0.172
0.14	23.71	-0.170
0.15	23.73	-0.169
0.15	23.75	-0.166
0.15	23.78	-0.162
0.15	23.80	-0.158
0.15	23.82	-0.154
0.16	23.85	-0.151
0.16	23.87	-0.150
0.16	23.89	-0.149
0.16	23.92	-0.147
0.16	23.94	-0.146
0.16	23.96	-0.145
0.16	23.98	-0.143
0.17	24.01	-0.143
0.17	24.03	-0.141
0.17	24.05	-0.139
0.17	24.07	-0.137
0.17	24.09	-0.136
0.18	24.12	-0.135
0.18	24.14	-0.134
0.18	24.16	-0.132
0.18	24.18	-0.132
0.18	24.21	-0.130
0.18	24.23	-0.129
0.19	24.25	-0.128
0.19	24.27	-0.127
0.19	24.30	-0.126
0.19	24.32	-0.127
0.19	24.34	-0.125
0.19	24.36	-0.124
0.19	24.38	-0.123
0.20	24.40	-0.122
0.20	24.43	-0.121
0.20	24.45	-0.120
0.20	24.47	-0.119
0.20	24.49	-0.118
0.21	24.51	-0.117
0.21	24.53	-0.117
0.21	24.56	-0.117
0.21	24.58	-0.117
0.21	24.60	-0.116
0.21	24.62	-0.115
0.21	24.64	-0.115
0.22	24.66	-0.115
0.22	24.68	-0.115
0.22	24.70	-0.115
0.22	24.72	-0.115
0.22	24.75	-0.114
0.23	24.77	-0.115
0.23	24.79	-0.114
0.23	24.81	-0.114
0.23	24.83	-0.112
0.23	24.85	-0.110
0.23	24.87	-0.107
0.24	24.89	-0.106
0.24	24.91	-0.106
0.24	24.93	-0.106
0.24	24.95	-0.106
0.24	24.97	-0.105
0.24	24.99	-0.105
0.24	25.01	-0.105
0.25	25.03	-0.106
0.25	25.05	-0.105
0.25	25.07	-0.105
0.25	25.09	-0.104
0.25	25.11	-0.104
0.26	25.13	-0.104
0.26	25.15	-0.103
0.26	25.17	-0.103
0.26	25.20	-0.103
0.26	25.21	-0.103
0.26	25.23	-0.103
0.26	25.25	-0.103
0.27	25.27	-0.102
0.27	25.29	-0.102
0.27	25.31	-0.102
0.27	25.33	-0.102
0.27	25.35	-0.101
0.28	25.37	-0.100
0.28	25.39	-0.098
0.28	25.41	-0.097
0.28	25.43	-0.096
0.28	25.45	-0.096
0.28	25.47	-0.096
0.29	25.49	-0.096
0.29	25.51	-0.096
0.29	25.53	-0.096
0.29	25.55	-0.096
0.29	25.57	-0.096
0.29	25.59	-0.097
