Filename	LLM_EP10_Cur
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/05/2025
Sample name	LLM_EP10_Cur
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00		
0.00		
0.00		
0.01		
0.01		
0.01	22.24	

[step]
Ramp 10.00 °C/min to 135.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.01	22.27	
0.01	22.30	
0.01	22.33	
0.01	22.36	
0.02	22.39	
0.02	22.41	
0.02	22.44	
0.02	22.47	
0.02	22.50	
0.03	22.53	
0.03	22.55	
0.03	22.58	
0.03	22.61	
0.03	22.63	
0.03	22.66	
0.03	22.68	
0.04	22.71	
0.04	22.73	
0.04	22.76	
0.04	22.78	
0.04	22.81	
0.05	22.83	
0.05	22.86	
0.05	22.88	
0.05	22.91	
0.05	22.93	
0.05	22.95	
0.05	22.98	
0.06	23.00	
0.06	23.02	-0.563
0.06	23.05	-0.557
0.06	23.07	-0.547
0.06	23.09	-0.539
0.07	23.11	-0.531
0.07	23.14	-0.524
0.07	23.16	-0.517
0.07	23.18	-0.510
0.07	23.20	-0.503
0.07	23.22	-0.496
0.08	23.25	-0.490
0.08	23.27	-0.484
0.08	23.29	-0.477
0.08	23.31	-0.471
0.08	23.33	-0.464
0.08	23.36	-0.459
0.08	23.38	-0.453
0.09	23.40	-0.448
0.09	23.42	-0.442
0.09	23.44	-0.436
0.09	23.46	-0.431
0.09	23.49	-0.426
0.09	23.51	-0.422
0.10	23.53	-0.417
0.10	23.55	-0.412
0.10	23.57	-0.407
0.10	23.59	-0.404
0.10	23.62	-0.400
0.11	23.64	-0.396
0.11	23.66	-0.392
0.11	23.68	-0.387
0.11	23.70	-0.383
0.11	23.73	-0.379
0.11	23.75	-0.376
0.12	23.77	-0.372
0.12	23.79	-0.369
0.12	23.81	-0.365
0.12	23.84	-0.362
0.12	23.86	-0.360
0.12	23.88	-0.358
0.13	23.90	-0.355
0.13	23.92	-0.352
0.13	23.95	-0.349
0.13	23.97	-0.347
0.13	23.99	-0.345
0.13	24.01	-0.342
0.14	24.04	-0.340
0.14	24.06	-0.338
0.14	24.08	-0.335
0.14	24.10	-0.333
0.14	24.13	-0.331
0.14	24.15	-0.329
0.14	24.17	-0.327
0.15	24.19	-0.325
0.15	24.22	-0.324
0.15	24.24	-0.322
0.15	24.26	-0.320
0.15	24.28	-0.319
0.16	24.30	-0.317
0.16	24.33	-0.316
0.16	24.35	-0.314
0.16	24.37	-0.313
0.16	24.39	-0.311
0.16	24.42	-0.310
0.16	24.44	-0.308
0.17	24.46	-0.307
0.17	24.48	-0.305
0.17	24.51	-0.304
0.17	24.53	-0.303
0.17	24.55	-0.302
0.18	24.57	-0.301
0.18	24.60	-0.300
0.18	24.62	-0.299
0.18	24.64	-0.299
0.18	24.66	-0.298
0.18	24.68	-0.297
0.19	24.71	-0.295
0.19	24.73	-0.294
0.19	24.75	-0.293
0.19	24.77	-0.292
0.19	24.80	-0.291
0.19	24.82	-0.290
0.19	24.84	-0.289
0.20	24.86	-0.289
0.20	24.88	-0.288
0.20	24.90	-0.287
0.20	24.93	-0.287
0.20	24.95	-0.286
0.21	24.97	-0.285
0.21	24.99	-0.285
0.21	25.01	-0.284
0.21	25.03	-0.283
0.21	25.06	-0.282
0.21	25.08	-0.281
0.21	25.10	-0.280
0.22	25.12	-0.279
0.22	25.14	-0.278
0.22	25.16	-0.278
0.22	25.18	-0.277
0.22	25.20	-0.277
0.23	25.22	-0.276
0.23	25.24	-0.276
0.23	25.27	-0.275
0.23	25.29	-0.275
0.23	25.31	-0.274
0.23	25.33	-0.274
0.24	25.35	-0.273
0.24	25.37	-0.272
0.24	25.39	-0.271
0.24	25.41	-0.271
0.24	25.43	-0.270
0.24	25.45	-0.270
0.24	25.47	-0.269
0.25	25.49	-0.269
0.25	25.51	-0.268
0.25	25.53	-0.267
0.25	25.55	-0.266
0.25	25.57	-0.266
0.26	25.59	-0.265
0.26	25.62	-0.264
0.26	25.63	-0.264
0.26	25.65	-0.263
0.26	25.67	-0.263
0.26	25.69	-0.263
0.26	25.71	-0.262
0.27	25.73	-0.262
0.27	25.75	-0.261
0.27	25.77	-0.260
0.27	25.79	-0.260
0.27	25.81	-0.258
0.28	25.83	-0.258
0.28	25.85	-0.258
0.28	25.87	-0.257
0.28	25.89	-0.257
0.28	25.91	-0.256
0.28	25.93	-0.255
0.29	25.95	-0.255
0.29	25.97	-0.254
0.29	25.99	-0.254
0.29	26.01	-0.254
0.29	26.03	-0.253
0.29	26.05	-0.252
