                                                                05.12.2024 12:05
________________________________________________________________________________



Curve Name:
  !$YN019-1204
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]            [%]
              0              0         33.965         25.000        99.7845
             32             32         38.223         30.333        101.089
             64             64         43.300         35.667        101.222
             96             96         48.353         41.000        101.317
            128            128         53.456         46.333        101.392
            160            160         58.575         51.667         101.46
            192            192         63.721         57.000         101.52
            224            224         68.833         62.333        101.575
            256            256         74.021         67.667        101.624
            288            288         79.186         73.000         101.67
            320            320         84.323         78.333        101.709
            352            352         88.873         83.667        101.742
            384            384         94.627         89.000        101.728
            416            416        100.175         94.333        101.738
            448            448        105.658         99.667        101.755
            480            480        111.132        105.000        101.778
            512            512        116.581        110.333        101.801
            544            544        122.037        115.667        101.831
            576            576        127.498        121.000        101.863
            608            608        132.936        126.333        101.895
            640            640        138.406        131.667        101.929
            672            672        143.874        137.000        101.967
            704            704        149.341        142.333        102.004
            736            736        154.825        147.667        102.044
            768            768        160.300        153.000        102.084
            800            800        165.802        158.333        102.122
            832            832        171.288        163.667        102.161
            864            864        176.790        169.000        102.202
            896            896        182.287        174.333        102.243
            928            928        187.777        179.667        102.279
            960            960        193.281        185.000        102.313
            992            992        198.779        190.333        102.343
           1024           1024        204.271        195.667        102.366
           1056           1056        209.784        201.000        102.385
           1088           1088        215.282        206.333        102.399
           1120           1120        220.801        211.667        102.409
           1152           1152        226.309        217.000        102.411
           1184           1184        231.824        222.333        102.411
           1216           1216        237.327        227.667        102.404
           1248           1248        242.854        233.000        102.393
           1280           1280        248.390        238.333        102.377
           1312           1312        253.932        243.667        102.351
           1344           1344        259.471        249.000         102.31
           1376           1376        265.004        254.333        102.251
           1408           1408        270.539        259.667        102.172
           1440           1440        276.060        265.000        102.072
           1472           1472        281.557        270.333        101.952
           1504           1504        287.103        275.667        101.796
           1536           1536        292.640        281.000        101.595
           1568           1568        298.165        286.333        101.362
           1600           1600        303.684        291.667          101.1
           1632           1632        309.224        297.000        100.805
           1664           1664        314.772        302.333        100.457
           1696           1696        320.376        307.667        100.023
           1728           1728        326.064        313.000        99.4184
           1760           1760        331.829        318.333        98.5716
           1792           1792        337.647        323.667         97.454
           1824           1824        343.462        329.000        96.1063
           1856           1856        349.234        334.333        94.5903
           1888           1888        354.955        339.667        92.9444
           1920           1920        360.625        345.000        91.1918
           1952           1952        366.268        350.333        89.3326
           1984           1984        371.892        355.667        87.3558
           2016           2016        377.526        361.000        85.2467
           2048           2048        383.136        366.333        82.9907
           2080           2080        388.800        371.667        80.5374
           2112           2112        394.452        377.000        77.8506
           2144           2144        400.085        382.333        74.8935
           2176           2176        405.773        387.667        71.5956
           2208           2208        411.495        393.000        67.8825
           2240           2240        417.217        398.333        63.6658
           2272           2272        423.103        403.667        58.7957
           2304           2304        429.089        409.000         53.171
           2336           2336        434.960        414.333        46.8372
           2368           2368        440.568        419.667        39.7842
           2400           2400        445.423        425.000        32.1764
           2432           2432        450.716        430.333        24.4117
           2464           2464        455.805        435.667        17.3045
           2496           2496        461.026        441.000        11.5723
           2528           2528        465.236        446.333          7.959
           2560           2560        469.541        451.667        6.50919
           2592           2592        473.916        457.000        6.22078
           2624           2624        478.718        462.333        6.17343
           2656           2656        483.770        467.667        6.15595
           2688           2688        488.955        473.000        6.14487
           2720           2720        494.240        478.333        6.14023
           2752           2752        499.595        483.667        6.13664
           2784           2784        504.964        489.000        6.13444
           2816           2816        510.351        494.333        6.13403
           2848           2848        515.778        499.667        6.13236
           2880           2880        521.186        505.000        6.13063
           2912           2912        526.611        510.333        6.12649
           2944           2944        532.048        515.667         6.1213
           2976           2976        537.473        521.000        6.11184
           3008           3008        542.915        526.333        6.09846
           3040           3040        548.343        531.667        6.07911
           3072           3072        553.796        537.000        6.05851
           3104           3104        559.250        542.333        6.02982
           3136           3136        564.692        547.667        5.99984


Results:
Sample:
  YN019-1204, 10.7500 mg


________________________________________________________________________________
Not signed                                                        STARe SW 16.40
