Filename	LLM_EP0901_0%01_Oscillatory temperature sweep
Instrument name	5333-0626
Operator	
rundate	06/05/2025
Sample name	LLM_EP0901_0%01_Oscillatory temperature sweep
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Sample
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Temperature ramp - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
-1.10707e-4	1.52926e-3	-13.8136	10.0001	0.251017	6.12356	109.73	167.624	8.74880e-5
-1.01197e-4	1.55599e-3	-15.3758	10.0001	0.250802	12.9032	109.36	167.398	8.74561e-5
-1.20072e-4	1.67292e-3	-13.9326	10.0001	0.251828	19.7923	109.20	166.519	8.72656e-5
-1.05208e-4	1.78143e-3	-16.9324	10.0001	0.252244	26.6969	108.89	165.651	8.72685e-5
-1.20492e-4	1.83492e-3	-15.2285	10.0001	0.253638	33.4609	108.67	165.270	8.74075e-5
-1.25505e-4	1.99029e-3	-15.8583	10.0001	0.254407	40.2562	108.46	164.094	8.71186e-5
-1.17246e-4	2.13560e-3	-18.2146	10.0001	0.255527	47.0515	108.22	162.978	8.71029e-5
-1.10065e-4	2.23648e-3	-20.3196	10.0001	0.256857	53.6437	107.94	162.208	8.72776e-5
-1.17593e-4	2.37480e-3	-20.1951	10.0001	0.258378	60.4858	107.78	161.201	8.71916e-5
-1.18716e-4	2.53453e-3	-21.3496	10.0001	0.259898	67.3858	107.57	160.037	8.70662e-5
-1.29374e-4	2.65230e-3	-20.5010	10.0001	0.262273	74.1846	107.29	159.216	8.72619e-5
-1.12548e-4	2.84525e-3	-25.2803	10.0001	0.263554	81.0812	107.11	157.797	8.70469e-5
-1.09312e-4	3.05945e-3	-27.9883	10.0001	0.266049	87.7530	106.89	156.294	8.69405e-5
-1.40331e-4	3.20417e-3	-22.8330	10.0001	0.269939	94.7200	106.61	155.403	8.72103e-5
-1.22304e-4	3.34963e-3	-27.3878	10.0001	0.271093	101.460	106.42	154.367	8.70681e-5
-1.00851e-4	3.52169e-3	-34.9199	10.0001	0.273063	108.439	106.22	153.159	8.70618e-5
-1.51435e-4	3.73848e-3	-24.6870	10.0001	0.278268	114.595	105.97	151.929	8.71042e-5
-1.23417e-4	3.90947e-3	-31.6770	10.0001	0.279908	121.564	105.70	150.754	8.69884e-5
-1.10409e-4	4.14307e-3	-37.5249	10.0001	0.283271	128.336	105.51	149.270	8.68894e-5
-1.27687e-4	4.33020e-3	-33.9127	10.0001	0.287797	135.175	105.31	148.209	8.70746e-5
-1.48257e-4	4.58682e-3	-30.9382	10.0001	0.292726	142.065	105.10	146.790	8.69241e-5
-1.44690e-4	4.81144e-3	-33.2533	10.0001	0.297042	148.251	104.82	145.512	8.69396e-5
-1.16364e-4	5.10044e-3	-43.8318	10.0001	0.301351	155.141	104.62	143.825	8.67303e-5
-1.32644e-4	5.38674e-3	-40.6105	10.0001	0.308141	162.017	104.40	142.386	8.68249e-5
-1.30095e-4	5.71673e-3	-43.9428	10.0001	0.314685	168.893	104.18	140.716	8.66715e-5
