Filename	LLM_EP0902_5%01_Oscillatory_temperature_ramp 
Instrument name	5333-0626
Operator	LIMING
rundate	30/04/2025
Sample name	LLM_EP0902_5%01_Oscillatory_temperature_ramp 
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Amplitude sweep
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Sample
proceduresegments	Amplitude sweep#Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp
[step]
Temperature ramp - 2
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
2.03445e-4	2.14354e-3	10.5362	10.0001	0.0702595	6.16019	109.74	162.136	2.50038e-5
2.58040e-4	2.16066e-3	8.37336	10.0001	0.0696115	12.9568	109.42	161.863	2.49397e-5
2.65940e-4	2.28685e-3	8.59912	10.0001	0.0697298	19.8688	109.22	160.858	2.48644e-5
3.51044e-4	2.44138e-3	6.95462	10.0001	0.0692600	26.7160	108.82	159.425	2.47949e-5
2.29979e-4	2.58990e-3	11.2615	10.0001	0.0713348	33.5432	108.61	158.647	2.49410e-5
3.32726e-4	2.68450e-3	8.06820	10.0001	0.0703668	40.3675	108.51	157.625	2.48121e-5
2.97204e-4	2.80623e-3	9.44208	10.0001	0.0714367	47.2106	108.26	156.831	2.49075e-5
3.23081e-4	3.02795e-3	9.37210	10.0001	0.0718026	53.9876	108.01	155.128	2.48034e-5
3.61946e-4	3.18075e-3	8.78790	10.0001	0.0722417	60.1397	107.76	153.901	2.48495e-5
3.80488e-4	3.30033e-3	8.67394	10.0001	0.0726563	67.6581	107.54	152.988	2.48649e-5
3.09094e-4	3.41581e-3	11.0511	10.0001	0.0740350	74.4259	107.31	152.441	2.49373e-5
4.68584e-4	3.57216e-3	7.62331	10.0001	0.0728217	80.5841	107.11	150.780	2.47501e-5
5.13493e-4	3.80934e-3	7.41847	10.0001	0.0737241	87.2383	106.87	149.005	2.47852e-5
5.02098e-4	4.00000e-3	7.96658	10.0001	0.0749490	94.1137	106.73	147.800	2.48287e-5
5.13113e-4	4.23985e-3	8.26299	10.0001	0.0760676	100.922	106.43	146.233	2.47987e-5
5.84634e-4	4.49916e-3	7.69568	10.0001	0.0767191	107.637	106.21	144.337	2.47230e-5
5.41043e-4	4.68205e-3	8.65374	10.0001	0.0786002	114.332	105.99	143.438	2.48680e-5
6.37627e-4	4.94757e-3	7.75934	10.0001	0.0789342	121.178	105.76	141.487	2.47064e-5
6.31561e-4	5.21598e-3	8.25887	10.0001	0.0809281	127.863	105.55	140.029	2.47855e-5
5.37804e-4	5.42323e-3	10.0840	10.0001	0.0833332	134.564	105.33	139.350	2.48917e-5
6.20253e-4	5.84628e-3	9.42564	10.0001	0.0846317	141.362	105.06	136.839	2.46259e-5
6.50084e-4	6.08463e-3	9.35976	10.0001	0.0865933	148.238	104.86	135.558	2.47806e-5
8.51782e-4	6.34744e-3	7.45196	10.0001	0.0866359	155.074	104.62	133.401	2.46617e-5
7.48211e-4	6.74863e-3	9.01969	10.0001	0.0906032	161.286	104.40	132.142	2.47580e-5
7.23410e-4	6.92904e-3	9.57830	10.0001	0.0924566	168.193	104.23	131.504	2.48513e-5
8.41336e-4	7.38733e-3	8.78047	10.0001	0.0941693	175.026	103.96	129.145	2.45859e-5
8.37946e-4	7.70626e-3	9.19660	10.0001	0.0973221	181.238	103.72	127.979	2.47548e-5
8.89237e-4	8.05855e-3	9.06232	10.0001	0.0996176	187.786	103.54	126.510	2.47089e-5
8.74881e-4	8.36537e-3	9.56171	10.0001	0.102393	194.738	103.27	125.558	2.47638e-5
9.21994e-4	8.78483e-3	9.52807	10.0001	0.105154	201.513	103.11	124.029	2.46681e-5
9.50727e-4	9.22620e-3	9.70436	10.0001	0.108553	208.269	102.87	122.615	2.46463e-5
1.03412e-3	9.82335e-3	9.49921	10.0001	0.112611	214.867	102.62	120.647	2.45266e-5
1.00006e-3	0.0103414	10.3409	10.0001	0.117836	221.740	102.43	119.516	2.46600e-5
1.06853e-3	0.0111099	10.3974	10.0001	0.123074	228.613	102.21	117.510	2.44345e-5
1.15192e-3	0.0117308	10.1836	10.0001	0.128770	235.457	101.96	115.925	2.45517e-5
