Filename	LLM_EP0902_5%01_flow
Instrument name	5333-0626
Operator	LIMING
rundate	01/05/2025
Sample name	LLM_EP0902_5%01_flow
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Flow sweep - 1
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	s	°C	MPa
9.24161e-7	0.100004	9.24123	34.9739	150.00	7.80501e-4
-7.81451e-7	0.125893	-6.20728	70.0625	150.01	7.52252e-4
-1.19545e-8	0.158493	-0.0754260	105.062	150.01	7.11346e-4
4.01680e-7	0.199516	2.01328	140.084	150.00	6.96689e-4
1.53074e-7	0.251191	0.609393	175.167	150.01	6.09888e-4
-1.49145e-7	0.316227	-0.471639	210.252	150.00	5.77803e-4
7.02248e-7	0.398110	1.76395	245.260	150.00	5.22141e-4
5.43169e-7	0.501181	1.08378	280.285	150.00	4.82739e-4
5.71102e-7	0.630943	0.905155	315.392	150.00	4.51168e-4
8.07187e-7	0.794320	1.01620	350.449	150.00	4.01866e-4
1.05886e-6	1.00001	1.05885	385.555	150.00	3.48555e-4
1.33922e-6	1.25893	1.06378	420.587	150.00	3.19053e-4
1.72953e-6	1.58488	1.09127	455.653	150.00	2.69551e-4
2.33755e-6	1.99525	1.17155	490.700	150.00	2.38695e-4
2.85756e-6	2.51188	1.13762	525.747	150.01	1.99501e-4
3.49482e-6	3.16229	1.10516	560.822	150.00	1.85706e-4
4.62749e-6	3.98106	1.16238	595.817	150.00	1.55404e-4
5.57463e-6	5.01181	1.11230	630.866	150.00	1.31705e-4
7.05624e-6	6.30953	1.11835	665.946	150.00	9.93994e-5
8.84136e-6	7.94328	1.11306	701.021	150.00	7.07344e-5
1.16360e-5	9.99995	1.16361	736.024	149.99	6.59361e-5
1.43052e-5	12.5893	1.13630	771.044	150.00	3.55977e-5
1.80601e-5	15.8489	1.13952	806.075	150.00	6.88660e-6
2.23528e-5	19.9525	1.12030	841.110	150.00	-7.28814e-6
2.64922e-5	25.1188	1.05468	876.166	150.01	-2.72458e-5
3.25998e-5	31.6226	1.03090	911.223	149.99	-5.00040e-5
4.18326e-5	39.8105	1.05079	946.259	150.00	-6.22413e-5
5.39996e-5	50.1187	1.07743	981.288	150.00	-8.17661e-5
6.55876e-5	63.0956	1.03950	1016.39	150.01	-7.82076e-5
8.29445e-5	79.4326	1.04421	1051.41	149.99	-9.48373e-5
1.05929e-4	99.9996	1.05929	1086.47	150.00	-1.09049e-4

[step]
Flow sweep - 2
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	s	°C	MPa
1.65538e-6	0.0999953	16.5546	34.9848	130.00	-9.99498e-4
1.28322e-6	0.125900	10.1924	70.0568	129.99	-1.02649e-3
2.06687e-6	0.158488	13.0411	105.051	130.00	-1.05151e-3
1.67575e-6	0.199522	8.39881	140.172	129.99	-1.06341e-3
2.35278e-6	0.251179	9.36694	175.238	130.00	-1.07759e-3
2.76762e-6	0.316229	8.75196	210.328	130.01	-1.10284e-3
3.73098e-6	0.398094	9.37211	245.332	130.00	-1.11054e-3
4.52073e-6	0.501176	9.02024	280.404	130.00	-1.13426e-3
6.04487e-6	0.630945	9.58066	315.521	130.00	-1.12246e-3
7.48741e-6	0.794316	9.42624	350.620	130.00	-1.13423e-3
9.51856e-6	0.999989	9.51867	385.689	130.00	-1.14781e-3
1.15852e-5	1.25891	9.20257	420.784	129.99	-1.14703e-3
1.48534e-5	1.58487	9.37200	455.838	130.00	-1.14976e-3
1.85528e-5	1.99524	9.29853	490.830	130.00	-1.14319e-3
2.32447e-5	2.51187	9.25395	525.878	130.01	-1.15429e-3
2.93608e-5	3.16225	9.28479	560.974	130.00	-1.16183e-3
3.70188e-5	3.98102	9.29883	596.030	130.01	-1.15456e-3
4.67045e-5	5.01178	9.31894	630.983	129.99	-1.16178e-3
5.89915e-5	6.30950	9.34963	666.093	130.01	-1.14464e-3
7.47542e-5	7.94315	9.41115	701.133	130.00	-1.14105e-3
9.36590e-5	9.99984	9.36605	736.247	130.00	-1.12790e-3
1.17026e-4	12.5891	9.29578	771.330	129.99	-1.13159e-3
1.46468e-4	15.8488	9.24162	806.383	130.00	-1.14397e-3
1.86025e-4	19.9523	9.32351	841.443	130.00	-1.15704e-3
2.29921e-4	25.1185	9.15345	876.474	130.00	-1.16920e-3
2.88646e-4	31.6223	9.12792	911.561	129.99	-1.15820e-3
3.65424e-4	39.8103	9.17914	946.628	130.00	-1.15009e-3
4.57147e-4	50.1182	9.12137	981.649	129.99	-1.12568e-3
5.66957e-4	63.0949	8.98578	1016.69	130.00	-1.09954e-3
7.14471e-4	79.4318	8.99478	1051.76	130.00	-1.06343e-3
8.76707e-4	99.9990	8.76715	1086.88	130.00	-1.02191e-3

[step]
Flow sweep - 3
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	s	°C	MPa
2.71749e-5	0.0999957	271.761	34.9885	110.00	-1.87740e-3
3.24695e-5	0.125891	257.917	69.9703	110.01	-1.88298e-3
4.17615e-5	0.158488	263.499	105.027	110.00	-1.89186e-3
5.27924e-5	0.199519	264.599	140.097	110.00	-1.89421e-3
6.65148e-5	0.251184	264.806	175.150	110.00	-1.91450e-3
8.19310e-5	0.316221	259.094	210.194	109.99	-1.89081e-3
1.05875e-4	0.398096	265.953	245.275	110.00	-1.90110e-3
1.30995e-4	0.501173	261.378	280.337	110.01	-1.88456e-3
1.64850e-4	0.630941	261.276	315.346	109.99	-1.87712e-3
2.12975e-4	0.794306	268.128	350.451	110.01	-1.87559e-3
2.61166e-4	0.999978	261.172	385.548	110.00	-1.88134e-3
3.30090e-4	1.25890	262.206	420.626	110.00	-1.86569e-3
4.16076e-4	1.58485	262.533	455.683	110.00	-1.85819e-3
5.17828e-4	1.99521	259.535	490.763	110.00	-1.83306e-3
6.49193e-4	2.51183	258.454	525.851	110.00	-1.81357e-3
8.09982e-4	3.16220	256.145	560.971	110.00	-1.76094e-3
1.01861e-3	3.98097	255.870	595.994	110.00	-1.70576e-3
1.28629e-3	5.01174	256.655	631.017	110.00	-1.60053e-3
1.59864e-3	6.30941	253.374	666.104	110.00	-1.47221e-3
1.98378e-3	7.94315	249.747	701.171	109.99	-1.29794e-3
2.43956e-3	9.99981	243.960	736.264	110.00	-1.04768e-3
3.00070e-3	12.5890	238.359	771.308	110.00	-7.13881e-4
3.70242e-3	15.8486	233.612	806.368	110.00	-2.65493e-4
4.38669e-3	19.9524	219.857	841.468	110.00	2.48801e-4
4.99976e-3	25.1185	199.047	876.549	110.00	1.08724e-3
6.33697e-3	31.6222	200.396	911.674	110.00	2.21452e-3
7.87139e-3	39.8100	197.724	946.798	110.00	3.39389e-3
9.91261e-3	50.1182	197.785	981.832	110.00	5.43443e-3
0.0121029	63.0943	191.823	1016.85	110.00	6.87427e-3
0.0145888	79.4308	183.667	1051.91	110.00	8.80617e-3
0.0172602	99.9977	172.606	1086.99	109.99	0.0100014

[step]
Flow sweep - 4
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	s	°C	MPa
3.49245e-3	0.100000	34924.4	34.9497	89.99	-2.08067e-3
4.53084e-3	0.125893	35989.7	69.9980	90.00	-1.25473e-3
5.72153e-3	0.158487	36101.0	105.040	90.00	-5.20263e-4
7.24476e-3	0.199527	36309.7	140.107	90.00	1.22230e-3
8.87101e-3	0.251186	35316.4	175.204	90.00	1.14917e-3
0.0110490	0.316227	34940.2	210.266	90.00	2.57032e-3
0.0138402	0.398104	34765.3	245.263	90.00	5.16997e-3
0.0172175	0.501184	34353.6	280.344	90.01	7.48789e-3
0.0213702	0.630956	33869.6	315.444	90.00	0.0105861
0.0267347	0.794328	33657.1	350.530	90.00	0.0155092
0.0336072	0.999998	33607.2	385.587	90.00	0.0247325
0.0413370	1.25892	32835.3	420.586	90.00	0.0320502
0.0506840	1.58490	31979.3	455.672	90.00	0.0427634
0.0631106	1.99527	31630.0	490.706	90.00	0.0518749
0.0787360	2.51189	31345.3	525.784	89.99	0.0702054
0.0949784	3.16231	30034.5	560.833	90.00	0.0796081
0.113147	3.98111	28421.0	595.868	90.00	0.0907541
0.134041	5.01191	26744.6	630.931	89.99	0.0945484
0.155006	6.30967	24566.4	666.022	90.00	0.101583
0.179461	7.94336	22592.6	701.090	90.00	0.103616
0.186945	10.0002	18694.1	736.179	90.00	0.0963409
0.158843	12.5896	12617.0	771.155	90.00	0.0961169
0.147004	15.8490	9275.32	806.215	90.00	0.0847977
0.218823	19.9525	10967.2	841.321	89.99	0.0809991
0.222260	25.1182	8848.55	876.400	90.01	0.0719233
0.121382	31.6233	3838.36	911.437	90.00	0.0574407
0.104725	39.8069	2630.82	946.486	90.00	0.0622776
0.0838692	50.1109	1673.67	981.563	90.00	0.0477946
0.0272227	63.0935	431.465	1016.58	89.99	0.0150594
0.0173528	79.4250	218.480	1051.64	90.01	0.0117451
0.0106511	99.9806	106.532	1086.67	90.00	0.0109466

[step]
Flow sweep - 5
Stress	Shear rate	Viscosity	Step time	Temperature	Normal stress
MPa	1/s	Pa.s	s	°C	MPa
0.0186747	0.100214	186349	34.9764	70.00	-1.49773e-3
0.0163946	0.125911	130208	69.9943	69.99	2.37891e-3
0.0164589	0.158487	103850	104.998	70.01	5.68713e-3
0.0213254	0.199534	106876	140.099	70.00	0.0130089
0.0188203	0.251186	74925.6	175.210	70.00	0.0190512
0.0194705	0.316230	61570.7	210.323	69.99	0.0302283
0.0161031	0.398120	40447.8	245.381	70.01	0.0238286
0.0112667	0.501186	22480.0	280.393	70.00	0.0298123
6.19207e-3	0.630996	9813.17	315.475	70.00	0.0140211
1.69080e-3	0.794315	2128.63	350.582	70.00	6.36545e-3
8.15922e-4	1.00032	815.658	385.696	70.01	3.37178e-3
3.54115e-4	1.25907	281.250	420.773	70.00	2.12867e-4
4.18786e-4	1.58483	264.246	455.819	70.00	8.80029e-4
1.44625e-4	1.99523	72.4855	490.820	70.00	-1.43954e-3
2.60637e-4	2.51180	103.765	525.898	70.00	-8.90408e-4
2.91664e-4	3.16200	92.2405	560.947	70.00	-7.09694e-4
1.14642e-4	3.98095	28.7977	596.043	70.01	-1.73588e-3
5.61480e-4	5.01248	112.016	631.106	70.00	2.15641e-3
2.74251e-4	6.30890	43.4705	666.125	70.00	-5.55098e-4
3.03702e-4	7.94315	38.2345	701.146	70.00	-1.83829e-4
5.96862e-4	9.99936	59.6900	736.224	69.99	1.90756e-3
3.71935e-4	12.5883	29.5461	771.320	69.99	2.29044e-4
4.35454e-4	15.8486	27.4759	806.313	70.00	7.22852e-4
4.15483e-4	19.9529	20.8232	841.369	70.00	2.86395e-4
3.19921e-4	25.1178	12.7368	876.466	69.99	-4.78399e-4
1.92836e-4	31.6221	6.09814	911.447	70.00	-9.91251e-4
2.47869e-4	39.8101	6.22628	946.527	70.01	-7.99304e-4
2.19067e-4	50.1184	4.37098	981.615	70.00	-9.77517e-4
2.34208e-4	63.0947	3.71201	1016.70	69.99	-7.53341e-4
1.90691e-4	79.4320	2.40068	1051.67	70.00	-1.04296e-3
1.53128e-4	99.9985	1.53130	1086.71	70.00	-1.21898e-3

