Filename	LLM_EP0904_15%01_Oscillatory temperature sweep_Flow
Instrument name	5333-0626
Operator	liming
rundate	14/05/2025
Sample name	LLM_EP0904_15%01_Oscillatory temperature sweep_Flow
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Sample
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Temperature ramp - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
1.01886e-3	1.91667e-3	1.88118	10.0001	0.215354	6.22423	149.77	161.808	8.72354e-5
1.04494e-3	2.05066e-3	1.96247	10.0001	0.215800	13.0716	149.37	160.550	8.71525e-5
1.16664e-3	2.04721e-3	1.75480	10.0001	0.211935	19.9114	149.07	160.195	8.72318e-5
1.26013e-3	2.17091e-3	1.72277	10.0001	0.209911	26.7593	148.92	158.779	8.70363e-5
1.41860e-3	2.31070e-3	1.62887	10.0001	0.206184	33.6924	148.60	156.958	8.68541e-5
1.50005e-3	2.40085e-3	1.60051	10.0001	0.205468	40.3869	148.40	155.837	8.71212e-5
1.63759e-3	2.47158e-3	1.50927	10.0001	0.201682	47.2554	148.14	154.635	8.69284e-5
1.77687e-3	2.59936e-3	1.46288	10.0001	0.199275	54.0164	148.02	152.876	8.69214e-5
1.80760e-3	2.68172e-3	1.48358	10.0001	0.200457	60.9798	147.78	152.000	8.72706e-5
1.94661e-3	2.78715e-3	1.43180	10.0001	0.197214	67.7311	147.57	150.390	8.69399e-5
2.06135e-3	2.79333e-3	1.35509	10.0001	0.194497	74.4957	147.30	149.750	8.72320e-5
2.07993e-3	2.95472e-3	1.42059	10.0001	0.196415	81.4079	147.13	148.229	8.70371e-5
2.27450e-3	2.88310e-3	1.26758	10.0001	0.189590	88.1899	146.85	147.795	8.71644e-5
2.27206e-3	3.15468e-3	1.38847	10.0001	0.194350	95.0399	146.56	145.437	8.69188e-5
2.43498e-3	3.14277e-3	1.29068	10.0001	0.189992	101.844	146.39	144.560	8.71691e-5
2.62001e-3	3.32817e-3	1.27029	10.0001	0.187494	108.638	146.12	141.813	8.66151e-5
2.63453e-3	3.41068e-3	1.29461	10.0001	0.190510	115.557	145.97	141.032	8.73576e-5
2.62643e-3	3.51871e-3	1.33973	10.0001	0.193075	122.350	145.70	140.209	8.73292e-5
2.58614e-3	3.49912e-3	1.35303	10.0001	0.194361	129.280	145.55	140.632	8.76147e-5
2.84364e-3	3.69375e-3	1.29895	10.0001	0.189391	136.082	145.26	137.334	8.64177e-5
2.88693e-3	3.70254e-3	1.28252	10.0001	0.190731	142.803	145.05	136.953	8.74420e-5
2.98275e-3	3.77641e-3	1.26608	10.0001	0.189500	149.654	144.82	135.692	8.71722e-5
3.10624e-3	3.80911e-3	1.22628	10.0001	0.187296	156.460	144.63	134.512	8.71963e-5
3.11038e-3	3.98049e-3	1.27974	10.0001	0.191349	163.349	144.35	133.226	8.71162e-5
3.10378e-3	4.09995e-3	1.32095	10.0001	0.195035	170.166	144.17	132.422	8.73194e-5
3.42981e-3	4.08623e-3	1.19139	10.0001	0.185864	176.979	143.94	129.932	8.67271e-5
3.35711e-3	4.28739e-3	1.27711	10.0001	0.193709	183.894	143.74	129.180	8.70988e-5
3.47448e-3	4.33313e-3	1.24713	10.0001	0.192484	190.642	143.45	127.929	8.71370e-5
3.62573e-3	4.41090e-3	1.21655	10.0001	0.191253	196.982	143.24	126.176	8.70399e-5
3.66342e-3	4.64317e-3	1.26744	10.0001	0.196908	203.758	143.05	124.472	8.69451e-5
3.68660e-3	4.62963e-3	1.25580	10.0001	0.197372	210.613	142.85	124.346	8.75229e-5
3.84384e-3	4.61598e-3	1.20088	10.0001	0.193062	217.417	142.62	123.084	8.71485e-5
3.88058e-3	4.77985e-3	1.23174	10.0001	0.197114	224.325	142.26	121.861	8.71038e-5
4.02818e-3	4.99107e-3	1.23904	10.0001	0.200021	231.115	142.09	119.493	8.67487e-5
4.07709e-3	4.89364e-3	1.20028	10.0001	0.198250	237.368	141.91	119.554	8.76483e-5
4.08463e-3	5.17344e-3	1.26656	10.0001	0.205280	244.222	141.67	118.133	8.70153e-5
4.21536e-3	5.27340e-3	1.25100	10.0001	0.206267	251.041	141.45	116.561	8.70120e-5
4.25901e-3	5.45635e-3	1.28113	10.0001	0.211538	257.895	141.29	115.409	8.70845e-5
4.34608e-3	5.40283e-3	1.24315	10.0001	0.209373	264.671	140.96	114.878	8.74333e-5
4.61421e-3	5.45684e-3	1.18261	10.0001	0.205909	271.497	140.68	112.289	8.68262e-5
4.59760e-3	5.76428e-3	1.25376	10.0001	0.216359	278.264	140.54	111.353	8.69353e-5
4.62482e-3	5.86304e-3	1.26773	10.0001	0.220126	285.106	140.33	110.798	8.72916e-5
