Filename	LLM_EP0905_20%02_Oscillatory temperature sweep_Flow
Instrument name	5333-0626
Operator	LIMING
rundate	21/05/2025
Sample name	LLM_EP0905_20%02_Oscillatory temperature sweep_Flow
Geometry name	8.0mm parallel plate, UPP Stainless steel  - 119113 new 30 11 22
Procedure name	Sample
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Temperature ramp
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Flow sweep
	Axial
	Sample
proceduresegments	Temperature ramp#Temperature ramp#Temperature ramp#Temperature ramp#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Flow sweep#Axial
[step]
Temperature ramp - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	s	°C	°	rad
6.75865e-4	1.32124e-3	1.95490	10.0001	0.198719	6.12396	149.76	166.490	7.86542e-5
7.00371e-4	1.32565e-3	1.89278	10.0001	0.197801	12.9209	149.42	166.386	7.86083e-5
6.92649e-4	1.37311e-3	1.98240	10.0001	0.198397	19.8052	149.08	165.937	7.85822e-5
7.33113e-4	1.44317e-3	1.96855	10.0001	0.197273	26.5897	148.85	165.147	7.84373e-5
7.45198e-4	1.42301e-3	1.90958	10.0001	0.197426	33.2933	148.61	165.313	7.87340e-5
7.54232e-4	1.49234e-3	1.97863	10.0001	0.197115	40.2184	148.40	164.606	7.84804e-5
8.06284e-4	1.51182e-3	1.87505	10.0001	0.195755	47.1021	148.22	164.269	7.85671e-5
8.28506e-4	1.54839e-3	1.86889	10.0001	0.195473	53.8451	148.02	163.846	7.86135e-5
8.32631e-4	1.52851e-3	1.83575	10.0001	0.195504	60.6858	147.74	164.032	7.87593e-5
8.90602e-4	1.63935e-3	1.84072	10.0001	0.193482	67.4043	147.54	162.763	7.82815e-5
8.93710e-4	1.65576e-3	1.85268	10.0001	0.194577	74.3069	147.34	162.588	7.86979e-5
9.25327e-4	1.69083e-3	1.82728	10.0001	0.193460	81.1381	147.05	162.145	7.85222e-5
9.42936e-4	1.75844e-3	1.86486	10.0001	0.193499	87.9391	146.91	161.420	7.84755e-5
9.95284e-4	1.78032e-3	1.78876	10.0001	0.192119	94.6981	146.63	161.028	7.85209e-5
1.01704e-3	1.85434e-3	1.82327	10.0001	0.192087	101.574	146.39	160.222	7.84500e-5
1.04908e-3	1.89924e-3	1.81038	10.0001	0.191600	107.743	146.18	159.667	7.84614e-5
1.06851e-3	1.93699e-3	1.81280	10.0001	0.191833	114.627	145.97	159.224	7.86279e-5
1.09781e-3	1.95293e-3	1.77894	10.0001	0.190962	121.514	145.72	158.958	7.85828e-5
1.13114e-3	2.03695e-3	1.80079	10.0001	0.190574	128.248	145.50	158.005	7.84261e-5
1.16636e-3	2.06640e-3	1.77167	10.0001	0.190055	135.395	145.29	157.575	7.85229e-5
1.19407e-3	2.15633e-3	1.80587	10.0001	0.190134	142.274	145.04	156.588	7.84176e-5
1.25116e-3	2.20422e-3	1.76174	10.0001	0.189083	149.118	144.85	155.880	7.84606e-5
1.24598e-3	2.21068e-3	1.77425	10.0001	0.189965	155.975	144.57	155.844	7.87186e-5
1.28107e-3	2.27367e-3	1.77482	10.0001	0.189280	162.929	144.39	155.076	7.85190e-5
1.31999e-3	2.35615e-3	1.78497	10.0001	0.189108	169.656	144.14	154.110	7.84441e-5
1.35574e-3	2.38524e-3	1.75936	10.0001	0.188708	176.547	143.89	153.663	7.85593e-5
1.40844e-3	2.42098e-3	1.71890	10.0001	0.187549	183.413	143.70	153.065	7.85311e-5
1.42162e-3	2.47129e-3	1.73836	10.0001	0.188024	190.142	143.41	152.525	7.85639e-5
1.44845e-3	2.54952e-3	1.76017	10.0001	0.188096	197.000	143.22	151.653	7.84050e-5
1.51202e-3	2.62960e-3	1.73913	10.0001	0.187539	203.816	142.96	150.578	7.84208e-5
1.53213e-3	2.67852e-3	1.74823	10.0001	0.188110	210.607	142.81	150.013	7.85602e-5
1.57760e-3	2.70807e-3	1.71658	10.0001	0.187251	217.383	142.52	149.498	7.85590e-5
1.61044e-3	2.81476e-3	1.74782	10.0001	0.187753	224.294	142.31	148.335	7.83735e-5
1.67953e-3	2.81992e-3	1.67899	10.0001	0.186179	231.038	142.10	147.895	7.85359e-5
