CSV Report,LLM_UV_03_03.csv
Worksheet Type,Scan

METHOD
X mode,nm
Y mode,Abs
Collect mode,Scan
Scan range start (nm),800.00
Scan range stop (nm),200.00
Data Interval (nm),1.00
Scan rate (nm/min),3000
Averaging Time (s),.02
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Baseline,Off
Experiment Zones,1


SAMPLES
Name,Sample 1,,Sample 2,
Collection Time,2025-03-04 12:08:47 (+00:00),,2025-03-04 12:08:47 (+00:00),
Cell Number,Cell 1,,Cell 2,
Module Serial Number,MY2052ZC03,,MY2052ZC03,
Temperatures (°C),,,,
Instrument Serial Number,MY2105ZA05,,MY2105ZA05,
Instrument Name,MY2105ZA05,,MY2105ZA05,
,Wavelength (nm),Abs,Wavelength (nm),Abs
,800,-0.0223934016448171,800,0.48078654795626
,799,-0.0220879971936186,799,0.483792674835584
,798,-0.0221549596008019,798,0.484785157805869
,797,-0.0226055187768605,797,0.486629288077623
,796,-0.0218730671799384,796,0.488407431794999
,795,-0.0219234255654424,795,0.48918055614543
,794,-0.0218385562535656,794,0.49283854385563
,793,-0.0221725226082703,793,0.493885233629823
,792,-0.022121897895136,792,0.496172185879511
,791,-0.0223570142533829,791,0.497531911135159
,790,-0.0219002899843998,790,0.499053603183152
,789,-0.02164419031469,789,0.501206143975858
,788,-0.0220336226181933,788,0.503477283952771
,787,-0.0217769122260962,787,0.504650976547775
,786,-0.0221868873412502,786,0.505075888644308
,785,-0.0220838147756594,785,0.507414286988543
,784,-0.0219788967149433,784,0.50903767307596
,783,-0.0219489225016093,783,0.512480906152691
,782,-0.0217190514445556,782,0.512956267189117
,781,-0.0216343392052937,781,0.514378541744145
,780,-0.0220564066399867,780,0.516531205692468
,779,-0.0214454995028198,779,0.518019093223816
,778,-0.0217496816866274,778,0.521238029019636
,777,-0.0216912755310277,777,0.521553019079194
,776,-0.0214017388534981,776,0.52470502098907
,775,-0.0214662941217014,775,0.525615324589669
,774,-0.021314302909164,774,0.528068427036038
,773,-0.0210585971749877,773,0.529027077575616
,772,-0.0214373193561687,772,0.532249028783527
,771,-0.0214812242410816,771,0.533125248959464
,770,-0.0212718107675836,770,0.535482226087415
,769,-0.0213613253286393,769,0.53678362913794
,768,-0.0213673875971182,768,0.539363283091609
,767,-0.0213141550318897,767,0.541162276265649
,766,-0.0205932960748414,766,0.543662729849527
,765,-0.020875131965303,765,0.545647166622745
,764,-0.0214104617672235,764,0.546882353926992
,763,-0.0212690994109505,763,0.548903257407137
,762,-0.0208383210588531,762,0.551092552720127
,761,-0.0209219552718903,761,0.552691161005183
,760,-0.0207545720249019,760,0.554522857334914
,759,-0.0207847768384115,759,0.556825587965219
,758,-0.0205219443234971,758,0.559427670717957
,757,-0.020716072648836,757,0.560880272820556
,756,-0.0206753484406555,756,0.563065297758309
,755,-0.0204085968539443,755,0.565127113815293
,754,-0.0209483004136713,754,0.566558383418939
,753,-0.0205158702419923,753,0.569046321237753
,752,-0.0202884014062448,752,0.571288552881673
,751,-0.0200498881187873,751,0.573374416428026
,750,-0.0202633009120582,750,0.575299842066456
,749,-0.0198749972942788,749,0.577607123416828
,748,-0.0200360952176732,748,0.5794794394779
,747,-0.0201681726840143,747,0.581165616296876
,746,-0.0199702886447546,746,0.583294968595988
,745,-0.0198907734872079,745,0.586109802121779
,744,-0.0195864738002933,744,0.588982583117059
,743,-0.0198149535008694,743,0.589552384365903
,742,-0.0197475798236582,742,0.59212955185046
,741,-0.0197029056098449,741,0.594616388103493
,740,-0.019854126340315,740,0.596237628149064
,739,-0.0195018395085716,739,0.598558313982819
,738,-0.0197968002421024,738,0.601300591849349
,737,-0.0196587216072093,737,0.603770587132894
,736,-0.0193531203713357,736,0.605534157066172
,735,-0.0193150412718099,735,0.607738988353978
,734,-0.0190572139063525,734,0.610396760066875
,733,-0.0188295744932337,733,0.612571341564769
,732,-0.0186236396986043,732,0.6151114817394
,731,-0.0188783537911384,731,0.617451686329972
,730,-0.0186024109128194,730,0.618967180740349
,729,-0.0187351233886537,729,0.621473189167134
,728,-0.0187609569388833,728,0.623926442297086
,727,-0.0188061743489532,727,0.626844010913964
,726,-0.0186610355494692,726,0.628829433249465
,725,-0.0187246110243044,725,0.631732425905253
,724,-0.0185421909065333,724,0.632786400458857
,723,-0.0185059755147508,723,0.636136981526686
,722,-0.0185170885040802,722,0.638137654311878
,721,-0.0184484711747394,721,0.640838382148765
,720,-0.0182525321014409,720,0.644355304950382
,719,-0.0180371353641694,719,0.64569451895925
,718,-0.0178633697015685,718,0.64796331340114
,717,-0.0176961452734458,717,0.651100650572963
,716,-0.0174708744438129,716,0.653820677218176
,715,-0.0177757650523036,715,0.656373616948213
,714,-0.0175412872387006,714,0.658171722840663
,713,-0.0174626190888396,713,0.660894537269786
,712,-0.0173173787472902,712,0.664012359674123
,711,-0.0173628461864247,711,0.666043808725162
,710,-0.0170588103446655,710,0.668607651787388
,709,-0.0170712048372083,709,0.670871232079019
,708,-0.0169150282922591,708,0.67324272490945
,707,-0.0170629418814833,707,0.676536094571951
,706,-0.0171261047011843,706,0.679445290907435
,705,-0.0167798656087459,705,0.681453647440903
,704,-0.0166001645916686,704,0.684061164286857
,703,-0.0166697222391804,703,0.686622784047032
,702,-0.0167024045071783,702,0.689084457094346
,701,-0.01645692844592,701,0.692610241197887
,700,-0.0165446998310618,700,0.694774635582513
,699,-0.0163855419288555,699,0.696757345957639
,698,-0.0163364319604932,698,0.699810162521582
,697,-0.0164065802364676,697,0.702306344527094
,696,-0.016076729896447,696,0.704624355533436
,695,-0.0160187033920522,695,0.707257167072511
,694,-0.0159997919618893,694,0.710391869514403
,693,-0.0158849085357865,693,0.713137037048558
,692,-0.0157628053471562,692,0.715851962992285
,691,-0.0158871046811404,691,0.718142926781425
,690,-0.0156415667490391,690,0.721175802850352
,689,-0.0155653009168175,689,0.72399576569739
,688,-0.0155858795268259,688,0.726735737113137
,687,-0.0154917194150783,687,0.728938356863474
,686,-0.0154149775627397,686,0.732175974954673
,685,-0.0153396214560184,685,0.73529199436806
,684,-0.015267751130765,684,0.737672668204929
,683,-0.0151690724927525,683,0.740231179566909
,682,-0.0150951238025017,682,0.743051829653045
,681,-0.0150779223020761,681,0.745743827309707
,680,-0.0150527688816178,680,0.748798297932508
,679,-0.0150618202802344,679,0.751337096048135
,678,-0.0148330770979691,678,0.754267653536377
,677,-0.0147547174870582,677,0.75728206420468
,676,-0.0149869530400399,676,0.760214625358664
,675,-0.0149424366721707,675,0.763007726014732
,674,-0.0146846522232761,674,0.766356305483988
,673,-0.0145654151978959,673,0.768828581293489
,672,-0.0145739260621123,672,0.772026226780786
,671,-0.0146227351504463,671,0.774518069766502
,670,-0.0146454107375323,670,0.777170710446559
,669,-0.0144766419483961,669,0.780587078383913
,668,-0.0146838514120698,668,0.783254140911891
,667,-0.014416648395309,667,0.785996945098195
,666,-0.0144970218455635,666,0.788982564571323
,665,-0.0143195795040859,665,0.792429460062738
,664,-0.014272840457988,664,0.795391340415539
,663,-0.0143576984101444,663,0.798389913083437
,662,-0.0142839120049996,662,0.80131356754073
,661,-0.0141619591286502,661,0.804246811351316
,660,-0.0141647653315935,660,0.80756270260388
,659,-0.0141945300109383,659,0.810153012250152
,658,-0.0141149024173083,658,0.813453660955122
,657,-0.0138863116730511,657,0.816722253105926
,656,-0.013978965580314,656,0.819359702770142
,655,-0.0138651509194296,655,0.82283883813285
,654,-0.0137704664845541,654,0.825863624550929
,653,-0.0137732752182677,653,0.829011325900295
,652,-0.0137538143330201,652,0.832317685981158
,651,-0.0136674335903826,651,0.835118361677615
,650,-0.0135717024543899,650,0.838517903834361
,649,-0.0135265389326714,649,0.841820114990811
,648,-0.0134271124536821,648,0.844713273216342
,647,-0.013379976048448,647,0.848310941147365
,646,-0.0133355958857642,646,0.85109244876436
,645,-0.0132654017092971,645,0.854501632649236
,644,-0.013127139226875,644,0.858013572302949
