CSV Report,LLM_UV_05.csv
Worksheet Type,Scan

METHOD
X mode,nm
Y mode,Abs
Collect mode,Scan
Scan range start (nm),800.00
Scan range stop (nm),200.00
Data Interval (nm),1.00
Scan rate (nm/min),3000
Averaging Time (s),.02
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Baseline,Off
Experiment Zones,1
Experimental temperature (°C),25°C


SAMPLES
Name,Sample 1,,Sample 2,,Sample 3,
Collection Time,2025-03-12 16:19:01 (+00:00),,2025-03-12 16:19:01 (+00:00),,2025-03-12 16:19:01 (+00:00),
Cell Number,Cell 1,,Cell 2,,Cell 3,
Module Serial Number,MY2052ZC03,,MY2052ZC03,,MY2052ZC03,
Temperatures (°C),25.0,,25.0,,25.0,
Instrument Serial Number,MY2105ZA05,,MY2105ZA05,,MY2105ZA05,
Instrument Name,MY2105ZA05,,MY2105ZA05,,MY2105ZA05,
,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
,800,0.00785419520687042,800,-0.0249327771446991,800,0.00349120537299411
,799,0.00863090622416079,799,-0.0250264276904353,799,0.00328544365534568
,798,0.00961936038796548,798,-0.0248637971530939,798,0.00357215929435059
,797,0.0108865335082958,797,-0.0244774827626713,797,0.00412567026204752
,796,0.0111717261092354,796,-0.0251380390185545,796,0.00384112232813937
,795,0.0118986574040467,795,-0.0249005617722961,795,0.00433269334638705
,794,0.012471947441811,794,-0.0251870431620296,794,0.0040184073422928
,793,0.0134660953294288,793,-0.024459131862553,793,0.0045680143829543
,792,0.0137553921807966,792,-0.0248990462710394,792,0.00487686071939387
,791,0.0144130430802053,791,-0.0246902476457849,791,0.00537605335656575
,790,0.0141863425358773,790,-0.0251207909805122,790,0.0049578639027113
,789,0.0150154416418879,789,-0.024761113514518,789,0.00547274689869336
,788,0.0150942040205691,788,-0.0246914215017687,788,0.00540239359491592
,787,0.0158784258262549,787,-0.0245794507055678,787,0.00599062937997135
,786,0.0169540754140081,786,-0.0243246328006206,786,0.00623522767960743
,785,0.0170687548183018,785,-0.0244731275525529,785,0.00649231328932195
,784,0.0178602487514707,784,-0.0247245327156426,784,0.00614135726131204
,783,0.0182459139846471,783,-0.0250529159867256,783,0.0064792543895718
,782,0.0183698464187677,782,-0.0242947221442323,782,0.00646454060680546
,781,0.0180985911056929,781,-0.0249035438722307,781,0.00629287285831522
,780,0.0188701206016048,780,-0.0242215278077492,780,0.00676622025120061
,779,0.0188807997586001,779,-0.0246518999388428,779,0.0067792614895591
,778,0.0195835515119236,778,-0.0245213260405521,778,0.00656568165183135
,777,0.020139316879496,777,-0.0250207095251559,777,0.00667015835683226
,776,0.0216686960120617,776,-0.0244646127459325,776,0.00713354926025294
,775,0.0219491068884969,775,-0.0247356344334693,775,0.00709884159451341
,774,0.0224487259029116,774,-0.0246585034205307,774,0.00708786939172053
,773,0.0231769387106129,773,-0.0251376969961286,773,0.00721952780452254
,772,0.0240513035865035,772,-0.0247109363926721,772,0.00725129706443897
,771,0.0252338233424428,771,-0.0246281754910921,771,0.00725453465885739
,770,0.0257911850195991,770,-0.0244623127407943,770,0.00716094369800196
,769,0.0250561110948885,769,-0.0248349014981535,769,0.00711312955467119
,768,0.0250402606871101,768,-0.0251784446295726,768,0.00719747230318767
,767,0.024665504049283,767,-0.0247632163277525,767,0.00740069901828685
,766,0.0240425758417201,766,-0.0245797442447391,766,0.00756619369751652
,765,0.0234128082816322,765,-0.0250516942373814,765,0.00730257497301073
,764,0.0228849558559484,764,-0.0249149832131948,764,0.00735259519342986
,763,0.0218379225382811,763,-0.0246989536688352,763,0.00729486184118262
,762,0.0203988543389336,762,-0.0250386946115187,762,0.00721423754039725
,761,0.0182563618247712,761,-0.0250115700790175,761,0.00716591751325848
,760,0.0187471805133679,760,-0.0251079400139371,760,0.00722634470754416
,759,0.0213317457317284,759,-0.0246865793253853,759,0.00723953137576093
,758,0.0267981034216352,758,-0.0251052525013667,758,0.00697763650259482
,757,0.0313248664447194,757,-0.0249086769471107,757,0.00733819404467842
,756,0.0441564472034873,756,-0.0247056053441169,756,0.00737679125159924
,755,0.0495564406072147,755,-0.0250594645046282,755,0.0073829260485782
,754,0.0533982705307036,754,-0.024693573562832,754,0.00723116134832221
,753,0.0514675848070671,753,-0.02507915833286,753,0.00721510608680228
,752,0.0528127724195,752,-0.0248770464636578,752,0.00682104341645405
,751,0.0534942663013775,751,-0.0247482519003608,751,0.00727330265319916
,750,0.0550332383339822,750,-0.0250177771035001,750,0.00711299798751624
,749,0.0565619665860864,749,-0.0247242392743174,749,0.00724476930518106
,748,0.0591574609933618,748,-0.0248498629402207,748,0.00688063365982098
,747,0.0616402273106107,747,-0.0249599065986274,747,0.00685875315009709
,746,0.0661955688245295,746,-0.0250860485184546,746,0.00647520804961668
,745,0.0713678245650586,745,-0.0250095173427393,745,0.00674363564579232
,744,0.0652077749745112,744,-0.0247672263154673,744,0.0067279927484484
,743,0.0568612418820665,743,-0.0248321145059185,743,0.00662208280906915
,742,0.0368047385128888,742,-0.0248534320969867,742,0.0060642805306704
,741,0.0125920844092927,741,-0.0249437757762257,741,0.00627677345749324
,740,-0.00806170636696191,740,-0.0251323223226335,740,0.00579695444937531
,739,-0.016717997466559,739,-0.0247385198555143,739,0.00600417227517315
,738,-0.0167988925244821,738,-0.0249305773849681,738,0.00529429085304391
,737,-0.0154525008267222,737,-0.0249851281383154,737,0.00509765217619736
,736,-0.0141464745756256,736,-0.0250847291296751,736,0.00454148927731988
,735,-0.0141946803324244,735,-0.0250603930178304,735,0.00395481986398649
,734,-0.0140280420821547,734,-0.0246608023868887,734,0.00315374680544699
,733,-0.0141179595044267,733,-0.0251704322074636,733,0.00182480265828162
,732,-0.0142197331864857,732,-0.0252762428921593,732,0.000923038398179288
,731,-0.0142012443199095,731,-0.0252160619522784,731,0.000499212961267615
,730,-0.0142924784834391,730,-0.0252895284694211,730,-0.000219819774237896
,729,-0.0141514357061187,729,-0.0255350919218947,729,-0.000527546125867355
,728,-0.0144003215030775,728,-0.0255145400354885,728,-0.000830042327345749
,727,-0.014205403130868,727,-0.0255958143791562,727,-0.000960548922703486
,726,-0.0142737422235065,726,-0.0253739703028402,726,-0.000785859594528865
,725,-0.0141233719993344,725,-0.0253014460679208,725,-0.00041889174452142
,724,-0.0140732036051114,724,-0.0252723352920873,724,-0.000466473400820179
,723,-0.014112296358839,723,-0.0254050274834524,723,-0.000525322629459169
,722,-0.0141054804396768,722,-0.0253030578491696,722,-0.000292775137745585
,721,-0.0138655520807448,721,-0.0251720933315107,721,-0.000376632794219603
,720,-0.0136036653531618,720,-0.0249088724916208,720,-0.000160980883706775
,719,-0.0137068137021114,719,-0.0250979228370991,719,-0.000136915188290071
,718,-0.0134217916672886,718,-0.0247794027585648,718,-7.59427908108778E-05
,717,-0.0133127011779634,717,-0.0247306949376735,717,-0.000112434091155458
,716,-0.0129525029938995,716,-0.0246051346322619,716,-6.79712334618798E-05
,715,-0.0131165404676453,715,-0.0246308170401131,715,-0.000168691974967108
,714,-0.012969989877069,714,-0.0244251194772828,714,-0.000162119442709559
,713,-0.0128152969772019,713,-0.0244251194772828,713,-0.000173763624781883
,712,-0.0127495433470623,712,-0.0243132268522288,712,-0.000311089666170052
,711,-0.0127704066244719,711,-0.0241977798375234,711,-0.000471696721621203
,710,-0.0127795057159179,710,-0.0243466606084,710,-0.000476195967394073
,709,-0.0127410469300374,709,-0.0243785255264889,709,-0.000721670353371854
,708,-0.0128189664201475,708,-0.0244559020238852,708,-0.000797693773056957
,707,-0.0128357549828528,707,-0.0246434375525657,707,-0.000779193037555473
,706,-0.0126553193408987,706,-0.0243234579528223,706,-0.000797538742235047
,705,-0.0126979087100462,705,-0.0243073524271748,705,-0.000858203244207826
,704,-0.0125150516208419,704,-0.0241760382890537,704,-0.000702752873316008
,703,-0.0126221299240435,703,-0.0244624106136016,703,-0.000979920074493676
,702,-0.0126186599749231,702,-0.024342353036092,702,-0.000942210102842194
,701,-0.012509971158069,701,-0.0243471011531596,701,-0.00106901624576708
,700,-0.0125075063576888,700,-0.0242848820180765,700,-0.00101344303968951
,699,-0.012682522713813,699,-0.0242423368172614,699,-0.0012821014605845
