CSV Report,LLM_UV_06.csv
Worksheet Type,Scan

METHOD
X mode,nm
Y mode,Abs
Collect mode,Scan
Scan range start (nm),800.00
Scan range stop (nm),200.00
Data Interval (nm),1.00
Scan rate (nm/min),3000
Averaging Time (s),.02
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Baseline,Off
Experiment Zones,1
Experimental temperature (°C),25°C


SAMPLES
Name,Sample 1,,Sample 2,
Collection Time,2025-03-13 12:02:07 (+00:00),,2025-03-13 12:02:07 (+00:00),
Cell Number,Cell 1,,Cell 2,
Module Serial Number,MY2052ZC03,,MY2052ZC03,
Temperatures (°C),25.0,,25.0,
Instrument Serial Number,MY2105ZA05,,MY2105ZA05,
Instrument Name,MY2105ZA05,,MY2105ZA05,
,Wavelength (nm),Abs,Wavelength (nm),Abs
,800,-0.014231557631568,800,-0.0260493533793815
,799,-0.0146949124861954,799,-0.0259878165408354
,798,-0.014215774931675,798,-0.0260189273794297
,797,-0.0146285918724372,797,-0.0258159353190971
,796,-0.0140168637548652,796,-0.0256999599819222
,795,-0.013969590786185,795,-0.0252285677690534
,794,-0.0140500470068506,794,-0.0252703326334235
,793,-0.0146405553582346,793,-0.0254896421482345
,792,-0.0140128033943455,792,-0.0251115070503903
,791,-0.0147238901636028,791,-0.0250253036126078
,790,-0.0134578813833113,790,-0.0245650670431215
,789,-0.0139685379891786,789,-0.0249383987022801
,788,-0.0144446430795345,788,-0.0252975386946109
,787,-0.0141917240003141,787,-0.025139211664827
,786,-0.0141672708546135,786,-0.0250251081205148
,785,-0.0137976000985725,785,-0.0250563368666046
,784,-0.0141943796894002,784,-0.0256727303190294
,783,-0.0142966865162224,783,-0.0256194860274385
,782,-0.0140300471328502,782,-0.0256700462992484
,781,-0.0143661632585487,781,-0.0257244554600228
,780,-0.0142402253465612,780,-0.025831058133008
,779,-0.0138689117922129,779,-0.0257332383626762
,778,-0.0138218233161448,778,-0.0253088699803593
,777,-0.0142713375112964,777,-0.0261199003411481
,776,-0.0142878696388456,776,-0.0259777708724503
,775,-0.0138996494382302,775,-0.0255941060659621
,774,-0.0140748074796159,774,-0.0255724831210136
,773,-0.0139152932122472,773,-0.0251994521076111
,772,-0.0139526454576567,772,-0.0257838829694725
,771,-0.0139597144472731,771,-0.0256258307860655
,770,-0.014079117862997,770,-0.0256802454861705
,769,-0.0140181670724159,769,-0.0256038189571834
,768,-0.0140753588101088,768,-0.0256923963579258
,767,-0.0139091260224689,767,-0.0254165512811248
,766,-0.0141041272665283,766,-0.0257565121957296
,765,-0.0142297539234662,765,-0.0257724664927974
,764,-0.0141280327047868,764,-0.0254822213253332
,763,-0.0141390077168343,763,-0.0256867357531401
,762,-0.0142813570576639,762,-0.026085530239811
,761,-0.0143754794098654,761,-0.026063102891597
,760,-0.0139865354535652,760,-0.0255384601905646
,759,-0.0140600215371326,759,-0.0256681918758921
,758,-0.014146975702491,758,-0.0258328630788467
,757,-0.0142737422235065,757,-0.0256776591121554
,756,-0.0139107305030347,756,-0.0258099348308785
,755,-0.0140446837224957,755,-0.0256403745753062
,754,-0.0139755565876814,754,-0.025454245635813
